,Unnamed: 0.1,Unnamed: 0,Sample name,Sample date,Sample ID,Plot,ID,Nitrogen,Water,Block,Direction,Barcode,Notes,Barcode_key,Run,% Moisture Content (MC),Moisture as decimal,lb/bu,Weight (g) 0% MC,Weight (g) 15.5% MC,Weight (kg) 0% MC,Weight (kg) 15.5% MC,Harvest area (ac),Harvest area (ha),"Grain Yield, 0% MC bu/ac","Grain Yield, 15.5% MC bu/ac","Grain Yield, 0% MC kg/ha","Grain Yield, 15.5% MC kg/ha","Annual ET, mm",Water trt target,N trt target,lbs NH4-N / ac,lbs NO3-N / ac,Total N / ac,qPCR_DW,qPCR_FW,qPCR_DW_log,qPCR_FW_log,GWC,Stems,Leaves,Shoots,Grain 0% MC,Bacteria Nitrosospira lacus,Bacteria Sphingomonas sediminicola
146,148,148,181,2021-09-23,22N,22N,216.0,High,High,2,N,41.0,NxW_B library,barcode41B,B,15.1,0.151,58.8,5485.9,6336.2,5.4859,6.3362,0.001147842,0.000464515,179.19,206.97,11809.9,13640.5,,100.0,245.0,3.5633405860000003,0.851162226,3.438549323,395727879.1943867,523364585.67583656,19.796237359255105,20.0757888837074,0.243877232,443.584769,199.0,,867.636,898551.408155116,1173536.1874785158
147,149,149,72,2021-09-23,22S,22S,216.0,High,High,2,S,50.0,NxW_A library,barcode50A,A,15.1,0.151,58.8,5485.9,6336.2,5.4859,6.3362,0.001147842,0.000464515,179.19,206.97,11809.9,13640.5,,100.0,245.0,2.844725602,0.647313111,2.5160852250000003,2029475159.4876351,2684055083.8797584,21.43104305444801,21.710594578900302,0.243877232,443.584769,199.0,,867.636,4274033.962327485,6067476.108525491
148,150,150,59,2021-09-23,35S,35S,316.0,High,High,3,S,38.0,NxW_A library,barcode38A,A,16.0,0.16,57.2,5585.4,6451.2,5.5854,6.4512,0.001147842,0.000464515,187.55,216.62,12024.2,13887.9,,100.0,245.0,1.792099758,1.109242689,1.925388959,3374921232.661392,3765636683.3056855,21.93963782252786,22.049182789693177,0.103758138,401.95678,182.0,,974.757,11951658.430264091,12146696.448893787
149,151,151,69,2021-09-23,35N,35N,316.0,High,High,3,N,47.0,NxW_A library,barcode47A,A,16.0,0.16,57.2,5585.4,6451.2,5.5854,6.4512,0.001147842,0.000464515,187.55,216.62,12024.2,13887.9,,100.0,245.0,2.429871825,1.550275317,3.004193654,1437886046.3967607,1604350463.152948,21.086439848596743,21.195984815762063,0.103758138,401.95678,182.0,,974.757,3656548.8143876623,4910190.579962336
150,152,152,88,2021-09-23,8S,8S,121.0,Low,Low,1,S,54.0,NxW_A library,barcode54A,A,13.3,0.133,58.9,2857.6,3300.6,2.8576,3.3006,0.001147842,0.000464515,93.18,107.63,6151.9,7105.4,,70.0,20.0,5.611464632,1.782969029,6.418480173,1859615584.783319,2009918739.1598337,21.34363562846365,21.42136012992146,0.074780712,244.3350073,112.0,,207.536,0.0,10635469.066112751
151,153,153,97,2021-09-23,8N,8N,121.0,Low,Low,1,N,62.0,NxW_A library,barcode62A,A,13.3,0.133,58.9,2857.6,3300.6,2.8576,3.3006,0.001147842,0.000464515,93.18,107.63,6151.9,7105.4,,70.0,20.0,3.384241341,0.776666439,3.1849542920000005,1832984676.9236944,1981135392.1144087,21.32921144620749,21.406935947665303,0.074780712,244.3350073,112.0,,207.536,0.0,10717586.770792495
152,154,154,184,2021-09-23,14N,14N,221.0,Low,Low,2,N,44.0,NxW_B library,barcode44B,B,12.0,0.12,57.9,2510.6,2899.8,2.5106,2.8998,0.001147842,0.000464515,83.28,96.19,5404.9,6242.6,,70.0,20.0,3.161882556,1.637062158,3.822991226,540585722.3025467,590053094.9413811,20.10816378062276,20.195723082241123,0.08383546,225.9456802,131.0,,364.595,0.0,0.0
153,155,155,90,2021-09-23,14S,14S,221.0,Low,Low,2,S,55.0,NxW_A library,barcode55A,A,12.0,0.12,57.9,2510.6,2899.8,2.5106,2.8998,0.001147842,0.000464515,83.28,96.19,5404.9,6242.6,,70.0,20.0,2.3018408800000003,3.471701084,4.7975884760000005,2355611760.911316,2571166704.303264,21.580066301767733,21.667625603386103,0.08383546,225.9456802,131.0,,364.595,3715510.8748928006,8057976.284913444
154,156,156,61,2021-09-23,30S,30S,321.0,Low,Low,3,S,39.0,NxW_A library,barcode39A,A,13.5,0.135,55.1,1448.5,1673.1,1.4485,1.6731,0.001147842,0.000464515,50.49,58.32,3118.4,3601.7,,70.0,20.0,2.299463706,0.980547446,2.304057664,2869886427.93043,3133232672.664203,21.777538293785263,21.86533111129275,0.084049374,172.7642933,112.0,,243.62,0.0,15133052.994539144
155,157,157,182,2021-09-23,10N,10N,125.0,Optimal,Low,1,N,42.0,NxW_B library,barcode42B,B,11.5,0.115,59.6,2729.3,3152.3,2.7293,3.1523,0.001147842,0.000464515,87.95,101.59,5875.5,6786.2,,70.0,200.0,3.997391025,12.711162966,15.73260051,703795704.2027291,780760112.1076849,20.37199867911436,20.47577850583057,0.098576255,171.5510033,123.0,,318.999,0.0,0.0
156,158,158,91,2021-09-23,10S,10S,125.0,Optimal,Low,1,S,56.0,NxW_A library,barcode56A,A,11.5,0.115,59.6,2729.3,3152.3,2.7293,3.1523,0.001147842,0.000464515,87.95,101.59,5875.5,6786.2,,70.0,200.0,7.507661119,14.311730336,20.84343797,9324504864.731674,10344197073.188564,22.955911703450656,23.059691530166862,0.098576255,171.5510033,123.0,,318.999,13517588.997971958,54375136.18081682
157,159,159,62,2021-09-23,15N,15N,225.0,Optimal,Low,2,N,40.0,NxW_A library,barcode40A,A,11.6,0.116,58.1,2429.9,2806.6,2.4299,2.8066,0.001147842,0.000464515,80.33,92.78,5231.1,6042.0,,70.0,200.0,3.883812503,3.0660644570000004,5.973923471,5249048300.481204,5741568359.645737,22.381312621018623,22.4709982433442,0.08578145,261.5405601,151.0,,516.328,11492257.189268004,18805141.190430038
158,160,160,65,2021-09-23,15S,15S,225.0,Optimal,Low,2,S,43.0,NxW_A library,barcode43A,A,11.6,0.116,58.1,2429.9,2806.6,2.4299,2.8066,0.001147842,0.000464515,80.33,92.78,5231.1,6042.0,,70.0,200.0,6.381952668,7.677504823,13.083504,4940089908.416469,5403620292.343082,22.320649368064927,22.410334990390503,0.08578145,261.5405601,151.0,,516.328,9564898.011326129,27693526.63453273
159,161,161,63,2021-09-23,28S,28S,325.0,Optimal,Low,3,S,41.0,NxW_A library,barcode41A,A,11.9,0.119,58.1,3428.1,3959.4,3.4281,3.9594,0.001147842,0.000464515,113.32,130.89,7379.9,8523.7,,70.0,200.0,2.705634491,0.910534688,2.640215691,3362259266.440237,3600232060.259311,21.9358789856877,22.004264141514085,0.066099293,251.5693387,121.0,,512.766,0.0,22902978.88444675
160,162,162,66,2021-09-23,28N,28N,325.0,Optimal,Low,3,N,44.0,NxW_A library,barcode44A,A,11.9,0.119,58.1,3428.1,3959.4,3.4281,3.9594,0.001147842,0.000464515,113.32,130.89,7379.9,8523.7,,70.0,200.0,8.424662354999999,4.602968704,12.05167757,702374610.8569405,752087031.94283,20.369977453357603,20.438362609183983,0.066099293,251.5693387,121.0,,512.766,4733147.982721927,3591938.263041761
161,163,163,70,2021-09-23,9S,9S,126.0,High,Low,1,S,48.0,NxW_A library,barcode48A,A,11.7,0.117,58.4,3344.0,3862.3,3.344,3.8623,0.001147842,0.000464515,109.98,127.02,7198.9,8314.8,,70.0,245.0,3.597312352,5.073914174,7.695273038,2363603958.2382765,2635441826.213305,21.583453392099425,21.692316680865968,0.103146981,209.2466352,121.0,,563.472,7233781.144952531,7290119.148750637
162,164,164,185,2021-09-23,13N,13N,226.0,High,Low,2,N,45.0,NxW_B library,barcode45B,B,12.4,0.124,59.2,3300.4,3812.0,3.3004,3.812,0.001147842,0.000464515,107.08,123.67,7105.1,8206.4,,70.0,245.0,28.215081652,22.650131586,49.88925975,508481376.0968564,542189942.3682339,20.046939147603915,20.111126945185514,0.062171139,205.3670075,130.0,,510.72,2122922.249883937,2918369.1550267125
163,165,165,87,2021-09-23,13S,13S,226.0,High,Low,2,S,53.0,NxW_A library,barcode53A,A,12.4,0.124,59.2,3300.4,3812.0,3.3004,3.812,0.001147842,0.000464515,107.08,123.67,7105.1,8206.4,,70.0,245.0,5.887580913,3.768087447,8.679714871,1724806253.2564113,1839148191.0860188,21.268380564168908,21.33256836175051,0.062171139,205.3670075,130.0,,510.72,5942379.579393499,8413888.646251798
164,166,166,64,2021-09-23,26N,26N,326.0,High,Low,3,N,42.0,NxW_A library,barcode42A,A,12.7,0.127,59.7,3336.1,3853.2,3.3361,3.8532,0.001147842,0.000464515,107.33,123.96,7181.9,8295.0,,70.0,245.0,2.391507336,2.215260323,3.630814171,2182804227.443768,2345915061.215253,21.50387622998135,21.57594138073165,0.069529727,239.3248679,138.0,,432.905,0.0,0.0
165,167,167,67,2021-09-23,26S,26S,326.0,High,Low,3,S,45.0,NxW_A library,barcode45A,A,12.7,0.127,59.7,3336.1,3853.2,3.3361,3.8532,0.001147842,0.000464515,107.33,123.96,7181.9,8295.0,,70.0,245.0,1.903819232,1.246445233,2.174310977,3404931251.897573,3659365968.693955,21.948490586005608,22.020555736755902,0.069529727,239.3248679,138.0,,432.905,0.0,13921748.1315552
